scenario,scenario_info,feature,activation
0045bc2ef62d,"{'token': 'b609b2e2eaf55e75', 'scenario_name': 'b609b2e2eaf55e75', 'scenario_type': 'on_intersection', 'log_name': '2021.07.16.00.51.05_veh-17_01352_01901', 'map_name': 'us-nv-las-vegas-strip'}",1404,2.664477586746216
0045bc2ef62d,"{'token': 'b609b2e2eaf55e75', 'scenario_name': 'b609b2e2eaf55e75', 'scenario_type': 'on_intersection', 'log_name': '2021.07.16.00.51.05_veh-17_01352_01901', 'map_name': 'us-nv-las-vegas-strip'}",1596,16.620479583740234
0045bc2ef62d,"{'token': 'b609b2e2eaf55e75', 'scenario_name': 'b609b2e2eaf55e75', 'scenario_type': 'on_intersection', 'log_name': '2021.07.16.00.51.05_veh-17_01352_01901', 'map_name': 'us-nv-las-vegas-strip'}",2487,0.6767020225524902
0045bc2ef62d,"{'token': 'b609b2e2eaf55e75', 'scenario_name': 'b609b2e2eaf55e75', 'scenario_type': 'on_intersection', 'log_name': '2021.07.16.00.51.05_veh-17_01352_01901', 'map_name': 'us-nv-las-vegas-strip'}",2609,12.547784805297852
0045bc2ef62d,"{'token': 'b609b2e2eaf55e75', 'scenario_name': 'b609b2e2eaf55e75', 'scenario_type': 'on_intersection', 'log_name': '2021.07.16.00.51.05_veh-17_01352_01901', 'map_name': 'us-nv-las-vegas-strip'}",4507,3.0720741748809814
0045bc2ef62d,"{'token': 'b609b2e2eaf55e75', 'scenario_name': 'b609b2e2eaf55e75', 'scenario_type': 'on_intersection', 'log_name': '2021.07.16.00.51.05_veh-17_01352_01901', 'map_name': 'us-nv-las-vegas-strip'}",6158,2.636570692062378
0045bc2ef62d,"{'token': 'b609b2e2eaf55e75', 'scenario_name': 'b609b2e2eaf55e75', 'scenario_type': 'on_intersection', 'log_name': '2021.07.16.00.51.05_veh-17_01352_01901', 'map_name': 'us-nv-las-vegas-strip'}",6410,0.6994173526763916
0045bc2ef62d,"{'token': 'b609b2e2eaf55e75', 'scenario_name': 'b609b2e2eaf55e75', 'scenario_type': 'on_intersection', 'log_name': '2021.07.16.00.51.05_veh-17_01352_01901', 'map_name': 'us-nv-las-vegas-strip'}",12595,0.21932610869407654
0045bc2ef62d,"{'token': 'b609b2e2eaf55e75', 'scenario_name': 'b609b2e2eaf55e75', 'scenario_type': 'on_intersection', 'log_name': '2021.07.16.00.51.05_veh-17_01352_01901', 'map_name': 'us-nv-las-vegas-strip'}",13174,1.1754921674728394
0045bc2ef62d,"{'token': 'b609b2e2eaf55e75', 'scenario_name': 'b609b2e2eaf55e75', 'scenario_type': 'on_intersection', 'log_name': '2021.07.16.00.51.05_veh-17_01352_01901', 'map_name': 'us-nv-las-vegas-strip'}",15345,2.338923692703247
0051b6f4efac,"{'token': '694266f7ac9d5e13', 'scenario_name': '694266f7ac9d5e13', 'scenario_type': 'traversing_pickup_dropoff', 'log_name': '2021.07.16.00.51.05_veh-17_01352_01901', 'map_name': 'us-nv-las-vegas-strip'}",1596,0.5653369426727295
0051b6f4efac,"{'token': '694266f7ac9d5e13', 'scenario_name': '694266f7ac9d5e13', 'scenario_type': 'traversing_pickup_dropoff', 'log_name': '2021.07.16.00.51.05_veh-17_01352_01901', 'map_name': 'us-nv-las-vegas-strip'}",4060,11.202249526977539
0051b6f4efac,"{'token': '694266f7ac9d5e13', 'scenario_name': '694266f7ac9d5e13', 'scenario_type': 'traversing_pickup_dropoff', 'log_name': '2021.07.16.00.51.05_veh-17_01352_01901', 'map_name': 'us-nv-las-vegas-strip'}",8000,3.7938437461853027
0051b6f4efac,"{'token': '694266f7ac9d5e13', 'scenario_name': '694266f7ac9d5e13', 'scenario_type': 'traversing_pickup_dropoff', 'log_name': '2021.07.16.00.51.05_veh-17_01352_01901', 'map_name': 'us-nv-las-vegas-strip'}",8625,0.09582412242889404
0051b6f4efac,"{'token': '694266f7ac9d5e13', 'scenario_name': '694266f7ac9d5e13', 'scenario_type': 'traversing_pickup_dropoff', 'log_name': '2021.07.16.00.51.05_veh-17_01352_01901', 'map_name': 'us-nv-las-vegas-strip'}",10526,0.11387212574481964
0051b6f4efac,"{'token': '694266f7ac9d5e13', 'scenario_name': '694266f7ac9d5e13', 'scenario_type': 'traversing_pickup_dropoff', 'log_name': '2021.07.16.00.51.05_veh-17_01352_01901', 'map_name': 'us-nv-las-vegas-strip'}",10908,10.451456069946289
0051b6f4efac,"{'token': '694266f7ac9d5e13', 'scenario_name': '694266f7ac9d5e13', 'scenario_type': 'traversing_pickup_dropoff', 'log_name': '2021.07.16.00.51.05_veh-17_01352_01901', 'map_name': 'us-nv-las-vegas-strip'}",12337,4.094091415405273
0051b6f4efac,"{'token': '694266f7ac9d5e13', 'scenario_name': '694266f7ac9d5e13', 'scenario_type': 'traversing_pickup_dropoff', 'log_name': '2021.07.16.00.51.05_veh-17_01352_01901', 'map_name': 'us-nv-las-vegas-strip'}",12595,10.836849212646484
0051b6f4efac,"{'token': '694266f7ac9d5e13', 'scenario_name': '694266f7ac9d5e13', 'scenario_type': 'traversing_pickup_dropoff', 'log_name': '2021.07.16.00.51.05_veh-17_01352_01901', 'map_name': 'us-nv-las-vegas-strip'}",15306,3.5411760807037354
0051b6f4efac,"{'token': '694266f7ac9d5e13', 'scenario_name': '694266f7ac9d5e13', 'scenario_type': 'traversing_pickup_dropoff', 'log_name': '2021.07.16.00.51.05_veh-17_01352_01901', 'map_name': 'us-nv-las-vegas-strip'}",16121,8.461355209350586
007c6f8f2fe5,"{'token': '13ac2770ce5453e5', 'scenario_name': '13ac2770ce5453e5', 'scenario_type': 'stationary_in_traffic', 'log_name': '2021.05.12.22.00.38_veh-35_01008_01518', 'map_name': 'us-nv-las-vegas-strip'}",154,12.141742706298828
007c6f8f2fe5,"{'token': '13ac2770ce5453e5', 'scenario_name': '13ac2770ce5453e5', 'scenario_type': 'stationary_in_traffic', 'log_name': '2021.05.12.22.00.38_veh-35_01008_01518', 'map_name': 'us-nv-las-vegas-strip'}",1188,1.1265004873275757
007c6f8f2fe5,"{'token': '13ac2770ce5453e5', 'scenario_name': '13ac2770ce5453e5', 'scenario_type': 'stationary_in_traffic', 'log_name': '2021.05.12.22.00.38_veh-35_01008_01518', 'map_name': 'us-nv-las-vegas-strip'}",1404,7.938755989074707
007c6f8f2fe5,"{'token': '13ac2770ce5453e5', 'scenario_name': '13ac2770ce5453e5', 'scenario_type': 'stationary_in_traffic', 'log_name': '2021.05.12.22.00.38_veh-35_01008_01518', 'map_name': 'us-nv-las-vegas-strip'}",1596,12.95026683807373
007c6f8f2fe5,"{'token': '13ac2770ce5453e5', 'scenario_name': '13ac2770ce5453e5', 'scenario_type': 'stationary_in_traffic', 'log_name': '2021.05.12.22.00.38_veh-35_01008_01518', 'map_name': 'us-nv-las-vegas-strip'}",2487,0.47538280487060547
007c6f8f2fe5,"{'token': '13ac2770ce5453e5', 'scenario_name': '13ac2770ce5453e5', 'scenario_type': 'stationary_in_traffic', 'log_name': '2021.05.12.22.00.38_veh-35_01008_01518', 'map_name': 'us-nv-las-vegas-strip'}",2609,0.5416460037231445
007c6f8f2fe5,"{'token': '13ac2770ce5453e5', 'scenario_name': '13ac2770ce5453e5', 'scenario_type': 'stationary_in_traffic', 'log_name': '2021.05.12.22.00.38_veh-35_01008_01518', 'map_name': 'us-nv-las-vegas-strip'}",5027,0.8803063631057739
007c6f8f2fe5,"{'token': '13ac2770ce5453e5', 'scenario_name': '13ac2770ce5453e5', 'scenario_type': 'stationary_in_traffic', 'log_name': '2021.05.12.22.00.38_veh-35_01008_01518', 'map_name': 'us-nv-las-vegas-strip'}",5128,0.5140691995620728
007c6f8f2fe5,"{'token': '13ac2770ce5453e5', 'scenario_name': '13ac2770ce5453e5', 'scenario_type': 'stationary_in_traffic', 'log_name': '2021.05.12.22.00.38_veh-35_01008_01518', 'map_name': 'us-nv-las-vegas-strip'}",5916,4.403780937194824
007c6f8f2fe5,"{'token': '13ac2770ce5453e5', 'scenario_name': '13ac2770ce5453e5', 'scenario_type': 'stationary_in_traffic', 'log_name': '2021.05.12.22.00.38_veh-35_01008_01518', 'map_name': 'us-nv-las-vegas-strip'}",6030,0.7680287957191467
007c6f8f2fe5,"{'token': '13ac2770ce5453e5', 'scenario_name': '13ac2770ce5453e5', 'scenario_type': 'stationary_in_traffic', 'log_name': '2021.05.12.22.00.38_veh-35_01008_01518', 'map_name': 'us-nv-las-vegas-strip'}",6410,2.4561941623687744
007c6f8f2fe5,"{'token': '13ac2770ce5453e5', 'scenario_name': '13ac2770ce5453e5', 'scenario_type': 'stationary_in_traffic', 'log_name': '2021.05.12.22.00.38_veh-35_01008_01518', 'map_name': 'us-nv-las-vegas-strip'}",10206,0.4310975968837738
007c6f8f2fe5,"{'token': '13ac2770ce5453e5', 'scenario_name': '13ac2770ce5453e5', 'scenario_type': 'stationary_in_traffic', 'log_name': '2021.05.12.22.00.38_veh-35_01008_01518', 'map_name': 'us-nv-las-vegas-strip'}",10908,1.8683903217315674
007c6f8f2fe5,"{'token': '13ac2770ce5453e5', 'scenario_name': '13ac2770ce5453e5', 'scenario_type': 'stationary_in_traffic', 'log_name': '2021.05.12.22.00.38_veh-35_01008_01518', 'map_name': 'us-nv-las-vegas-strip'}",11283,7.966521263122559
007c6f8f2fe5,"{'token': '13ac2770ce5453e5', 'scenario_name': '13ac2770ce5453e5', 'scenario_type': 'stationary_in_traffic', 'log_name': '2021.05.12.22.00.38_veh-35_01008_01518', 'map_name': 'us-nv-las-vegas-strip'}",12595,10.857245445251465
007c6f8f2fe5,"{'token': '13ac2770ce5453e5', 'scenario_name': '13ac2770ce5453e5', 'scenario_type': 'stationary_in_traffic', 'log_name': '2021.05.12.22.00.38_veh-35_01008_01518', 'map_name': 'us-nv-las-vegas-strip'}",12931,1.0423099994659424
014b9f302955,"{'token': 'e7ae1279802d5fd3', 'scenario_name': 'e7ae1279802d5fd3', 'scenario_type': 'stationary_in_traffic', 'log_name': '2021.05.12.22.00.38_veh-35_01008_01518', 'map_name': 'us-nv-las-vegas-strip'}",154,13.491087913513184
014b9f302955,"{'token': 'e7ae1279802d5fd3', 'scenario_name': 'e7ae1279802d5fd3', 'scenario_type': 'stationary_in_traffic', 'log_name': '2021.05.12.22.00.38_veh-35_01008_01518', 'map_name': 'us-nv-las-vegas-strip'}",1188,0.4747650623321533
014b9f302955,"{'token': 'e7ae1279802d5fd3', 'scenario_name': 'e7ae1279802d5fd3', 'scenario_type': 'stationary_in_traffic', 'log_name': '2021.05.12.22.00.38_veh-35_01008_01518', 'map_name': 'us-nv-las-vegas-strip'}",1404,6.167799949645996
014b9f302955,"{'token': 'e7ae1279802d5fd3', 'scenario_name': 'e7ae1279802d5fd3', 'scenario_type': 'stationary_in_traffic', 'log_name': '2021.05.12.22.00.38_veh-35_01008_01518', 'map_name': 'us-nv-las-vegas-strip'}",1596,11.959949493408203
014b9f302955,"{'token': 'e7ae1279802d5fd3', 'scenario_name': 'e7ae1279802d5fd3', 'scenario_type': 'stationary_in_traffic', 'log_name': '2021.05.12.22.00.38_veh-35_01008_01518', 'map_name': 'us-nv-las-vegas-strip'}",2609,0.6231284141540527
014b9f302955,"{'token': 'e7ae1279802d5fd3', 'scenario_name': 'e7ae1279802d5fd3', 'scenario_type': 'stationary_in_traffic', 'log_name': '2021.05.12.22.00.38_veh-35_01008_01518', 'map_name': 'us-nv-las-vegas-strip'}",5027,1.0609407424926758
014b9f302955,"{'token': 'e7ae1279802d5fd3', 'scenario_name': 'e7ae1279802d5fd3', 'scenario_type': 'stationary_in_traffic', 'log_name': '2021.05.12.22.00.38_veh-35_01008_01518', 'map_name': 'us-nv-las-vegas-strip'}",5916,1.920196771621704
014b9f302955,"{'token': 'e7ae1279802d5fd3', 'scenario_name': 'e7ae1279802d5fd3', 'scenario_type': 'stationary_in_traffic', 'log_name': '2021.05.12.22.00.38_veh-35_01008_01518', 'map_name': 'us-nv-las-vegas-strip'}",6030,1.9335192441940308
014b9f302955,"{'token': 'e7ae1279802d5fd3', 'scenario_name': 'e7ae1279802d5fd3', 'scenario_type': 'stationary_in_traffic', 'log_name': '2021.05.12.22.00.38_veh-35_01008_01518', 'map_name': 'us-nv-las-vegas-strip'}",6158,0.12256753444671631
014b9f302955,"{'token': 'e7ae1279802d5fd3', 'scenario_name': 'e7ae1279802d5fd3', 'scenario_type': 'stationary_in_traffic', 'log_name': '2021.05.12.22.00.38_veh-35_01008_01518', 'map_name': 'us-nv-las-vegas-strip'}",6410,0.3715946674346924
014b9f302955,"{'token': 'e7ae1279802d5fd3', 'scenario_name': 'e7ae1279802d5fd3', 'scenario_type': 'stationary_in_traffic', 'log_name': '2021.05.12.22.00.38_veh-35_01008_01518', 'map_name': 'us-nv-las-vegas-strip'}",10206,2.6392791271209717
014b9f302955,"{'token': 'e7ae1279802d5fd3', 'scenario_name': 'e7ae1279802d5fd3', 'scenario_type': 'stationary_in_traffic', 'log_name': '2021.05.12.22.00.38_veh-35_01008_01518', 'map_name': 'us-nv-las-vegas-strip'}",10908,2.612525224685669
014b9f302955,"{'token': 'e7ae1279802d5fd3', 'scenario_name': 'e7ae1279802d5fd3', 'scenario_type': 'stationary_in_traffic', 'log_name': '2021.05.12.22.00.38_veh-35_01008_01518', 'map_name': 'us-nv-las-vegas-strip'}",11283,6.159929275512695
014b9f302955,"{'token': 'e7ae1279802d5fd3', 'scenario_name': 'e7ae1279802d5fd3', 'scenario_type': 'stationary_in_traffic', 'log_name': '2021.05.12.22.00.38_veh-35_01008_01518', 'map_name': 'us-nv-las-vegas-strip'}",12595,11.991934776306152
